customer_id,age,gender,city,income,join_date
C00001,56,F,Mumbai,33900.0,2023-05-14
C00002,46,M,Kolkata,64000.0,2024-05-13
C00003,32,M,Chennai,44800.0,2024-02-01
C00004,60,F,Bengaluru,88100.0,2024-10-08
C00005,25,F,Mumbai,77900.0,2024-11-15
C00006,38,M,Hyderabad,44000.0,2026-05-21
C00007,56,F,Jaipur,52000.0,2023-01-19
C00008,36,F,Delhi,42900.0,2025-10-07
C00009,40,M,Bengaluru,29000.0,2023-04-29
C00010,28,Other,Delhi,37400.0,2023-10-29
C00011,28,F,Delhi,60100.0,2023-08-15
C00012,41,F,Lucknow,63700.0,2026-05-20
C00013,53,F,Ahmedabad,58800.0,2023-12-22
C00014,57,M,Bengaluru,48000.0,2024-12-01
C00015,41,M,Kolkata,83700.0,2024-05-01
C00016,20,M,Ahmedabad,56600.0,2023-08-11
C00017,39,M,Bengaluru,75500.0,2026-04-29
C00018,19,M,Delhi,24800.0,2025-09-21
C00019,41,F,Ahmedabad,9400.0,2024-05-14
C00020,61,F,Bengaluru,62500.0,2026-06-14
C00021,47,F,Kolkata,29000.0,2025-11-11
C00022,55,F,Mumbai,50000.0,2026-02-24
C00023,19,F,Chennai,48000.0,2023-12-31
C00024,38,M,Jaipur,112400.0,2025-12-03
C00025,50,M,Bengaluru,65800.0,2024-06-02
C00026,29,F,Kolkata,59300.0,2026-02-25
C00027,39,F,Chennai,80200.0,2026-02-27
C00028,61,M,Ahmedabad,64900.0,2024-06-12
C00029,42,F,Bengaluru,44800.0,2023-07-05
C00030,44,M,Bengaluru,89100.0,2025-03-08
C00031,59,F,Hyderabad,33400.0,2025-09-08
C00032,45,F,Bengaluru,63600.0,2023-12-14
C00033,33,F,Jaipur,27400.0,2025-07-10
C00034,32,Other,Hyderabad,60300.0,2025-07-09
C00035,64,F,Chennai,60000.0,2025-08-14
C00036,61,F,Ahmedabad,116900.0,2023-12-27
C00037,20,F,Ahmedabad,27200.0,2023-07-01
C00038,54,F,Pune,42000.0,2023-04-07
C00039,24,F,Pune,79600.0,2024-07-16
C00040,38,M,Chennai,64000.0,2023-11-10
C00041,26,M,Lucknow,59600.0,2025-08-12
C00042,56,F,Kolkata,35800.0,2023-01-21
C00043,35,M,Lucknow,42200.0,2025-03-15
C00044,21,M,Kolkata,96300.0,2024-07-29
C00045,42,Other,Hyderabad,53700.0,2024-02-07
C00046,31,F,Chennai,65100.0,2026-02-21
C00047,26,F,Kolkata,52200.0,2024-09-04
C00048,43,M,Unknown,32300.0,2026-02-16
C00049,19,M,Pune,83700.0,2025-08-27
C00050,37,M,Delhi,69000.0,2024-11-23
C00051,45,M,Kolkata,155200.0,2025-08-16
C00052,64,M,Chennai,34800.0,2025-05-21
C00053,24,M,Mumbai,79600.0,2025-04-19
C00054,61,F,Hyderabad,30500.0,2023-04-13
C00055,25,F,Bengaluru,59000.0,2023-11-29
C00056,64,M,Bengaluru,85400.0,2026-02-27
C00057,52,M,Kolkata,21600.0,2025-01-22
C00058,31,F,Lucknow,50200.0,2023-05-14
C00059,34,M,Hyderabad,42700.0,2026-03-26
C00060,53,F,Ahmedabad,40100.0,2024-02-29
C00061,57,M,Jaipur,65400.0,2025-07-25
C00062,21,M,Bengaluru,91100.0,2024-05-19
C00063,19,M,Pune,51800.0,2025-05-20
C00064,23,M,Hyderabad,60300.0,2023-07-09
C00065,59,F,Lucknow,57900.0,2024-09-03
C00066,21,F,Chennai,55000.0,2023-02-21
C00067,46,F,Lucknow,33700.0,2024-09-03
C00068,35,M,Hyderabad,90600.0,2024-01-09
C00069,43,F,Ahmedabad,62800.0,2024-01-10
C00070,61,F,Bengaluru,65700.0,2024-01-24
C00071,51,F,Pune,38300.0,2024-11-04
C00072,27,M,Mumbai,44700.0,2025-03-14
C00073,53,M,Chennai,50800.0,2024-02-08
C00074,31,F,Pune,27600.0,2024-08-15
C00075,48,F,Ahmedabad,25700.0,2025-01-01
C00076,65,M,Jaipur,42000.0,2024-05-19
C00077,32,M,Ahmedabad,69600.0,2023-03-24
C00078,25,F,Ahmedabad,41000.0,2023-11-15
C00079,31,F,Bengaluru,34800.0,2025-12-26
C00080,40,M,Hyderabad,38100.0,2024-02-18
C00081,57,F,Hyderabad,44800.0,2024-03-28
C00082,38,F,Pune,46900.0,2025-01-15
C00083,33,F,Jaipur,145700.0,2023-07-17
C00084,62,F,Jaipur,88400.0,2023-09-16
C00085,35,M,Lucknow,87200.0,2023-10-25
C00086,64,F,Mumbai,93100.0,2023-10-27
C00087,41,M,Ahmedabad,35100.0,2023-05-09
C00088,43,F,Mumbai,31700.0,2024-05-12
C00089,42,F,Delhi,33400.0,2024-03-13
C00090,62,M,Kolkata,100300.0,2023-07-26
C00091,58,F,Ahmedabad,43000.0,2023-10-21
C00092,46,Other,Mumbai,31300.0,2023-01-29
C00093,32,M,Bengaluru,45300.0,2023-06-28
C00094,62,F,Kolkata,49400.0,2023-02-10
C00095,18,F,Jaipur,62100.0,2026-04-30
C00096,42,F,Ahmedabad,61600.0,2023-12-10
C00097,24,M,Ahmedabad,37900.0,2025-03-26
C00098,26,M,Jaipur,74900.0,2025-01-06
C00099,41,M,Lucknow,41300.0,2024-09-17
C00100,18,F,Bengaluru,51300.0,2023-10-05
C00101,61,M,Ahmedabad,74900.0,2024-06-12
C00102,25,F,Mumbai,41200.0,2023-03-27
C00103,41,M,Ahmedabad,42600.0,2023-11-13
C00104,28,F,Kolkata,71800.0,2024-11-23
C00105,34,M,Ahmedabad,37400.0,2025-05-12
C00106,25,M,Mumbai,46300.0,2026-03-14
C00107,52,M,Chennai,70600.0,2023-11-11
C00108,52,M,Kolkata,138600.0,2023-08-13
C00109,50,F,Pune,72200.0,2025-12-13
C00110,22,F,Pune,,2023-03-09
C00111,59,F,Kolkata,69800.0,2025-10-17
C00112,56,F,Bengaluru,33900.0,2026-01-05
C00113,58,F,Chennai,57900.0,2025-05-05
C00114,45,F,Kolkata,54300.0,2026-03-24
C00115,24,F,Mumbai,63600.0,2025-12-31
C00116,26,F,Delhi,58000.0,2025-06-01
C00117,25,M,Hyderabad,65200.0,2026-02-02
C00118,29,F,Ahmedabad,47800.0,2025-08-28
C00119,51,M,Lucknow,56500.0,2026-01-23
C00120,50,F,Chennai,31700.0,2026-05-27
C00121,65,F,Mumbai,47600.0,2026-02-25
C00122,40,M,Lucknow,102800.0,2023-07-19
C00123,41,M,Pune,63500.0,2023-11-28
C00124,54,F,Kolkata,54500.0,2024-06-30
C00125,52,F,Chennai,129100.0,2023-03-07
C00126,61,M,Jaipur,29800.0,2024-12-31
C00127,57,F,Ahmedabad,33400.0,2024-07-21
C00128,39,F,Hyderabad,118900.0,2024-10-18
C00129,44,F,Pune,56100.0,2024-02-08
C00130,52,Other,Kolkata,49300.0,2024-09-09
C00131,18,F,Ahmedabad,32100.0,2024-08-18
C00132,52,M,Pune,67300.0,2024-10-09
C00133,54,F,Jaipur,70300.0,2023-05-26
C00134,64,F,Lucknow,33600.0,2025-01-30
C00135,31,M,Hyderabad,51600.0,2023-05-05
C00136,20,M,Hyderabad,47300.0,2024-04-24
