merchant_id,merchant_name,category,city,merchant_size,onboarding_date
M0001,Merchant_0001,Utilities,Pune,Medium,2024-05-03
M0002,Merchant_0002,Utilities,Delhi,Small,2023-05-24
M0003,Merchant_0003,Grocery,Mumbai,Small,2023-05-28
M0004,Merchant_0004,Grocery,Delhi,Small,2024-03-09
M0005,Merchant_0005,E-commerce,Ahmedabad,Small,2024-11-11
M0006,Merchant_0006,Entertainment,Lucknow,Small,2024-01-08
M0007,Merchant_0007,Fuel,Chennai,Small,2025-05-12
M0008,Merchant_0008,Grocery,Lucknow,Small,2023-11-30
M0009,Merchant_0009,E-commerce,Delhi,Small,2024-06-05
M0010,Merchant_0010,Utilities,Jaipur,Small,2023-04-16
M0011,Merchant_0011,Fuel,Ahmedabad,Small,2022-10-11
M0012,Merchant_0012,Utilities,Hyderabad,Small,2023-01-07
M0013,Merchant_0013,E-commerce,Lucknow,Small,2026-03-02
M0014,Merchant_0014,Utilities,Kolkata,Small,2025-09-17
M0015,Merchant_0015,E-commerce,Bengaluru,Medium,2024-11-16
M0016,Merchant_0016,Entertainment,Chennai,Small,2024-05-04
M0017,Merchant_0017,Fuel,Bengaluru,Large,2022-05-09
M0018,Merchant_0018,Grocery,Lucknow,Small,2025-11-04
M0019,Merchant_0019,Grocery,Bengaluru,Large,2023-05-22
M0020,Merchant_0020,Food,Jaipur,Medium,2025-01-23
M0021,Merchant_0021,Grocery,Chennai,Medium,2023-08-01
M0022,Merchant_0022,Utilities,Ahmedabad,Large,2025-04-15
M0023,Merchant_0023,Entertainment,Hyderabad,Small,2023-04-18
M0024,Merchant_0024,Grocery,Hyderabad,Small,2026-02-18
M0025,Merchant_0025,Grocery,Ahmedabad,Small,2024-10-04
M0026,Merchant_0026,Food,Kolkata,Small,2025-07-22
M0027,Merchant_0027,Entertainment,Pune,Small,2023-10-30
M0028,Merchant_0028,Entertainment,Delhi,Small,2025-12-17
M0029,Merchant_0029,Fuel,Chennai,Small,2026-04-04
M0030,Merchant_0030,Food,Mumbai,Small,2022-11-16
M0031,Merchant_0031,Utilities,Kolkata,Small,2022-02-27
M0032,Merchant_0032,Entertainment,Jaipur,Medium,2022-09-30
M0033,Merchant_0033,Utilities,Pune,Large,2025-05-06
M0034,Merchant_0034,Grocery,Pune,Small,2025-01-07
M0035,Merchant_0035,Travel,Kolkata,Small,2024-09-08
M0036,Merchant_0036,Grocery,Pune,Small,2022-02-10
M0037,Merchant_0037,Food,Lucknow,Medium,2024-01-08
M0038,Merchant_0038,E-commerce,Hyderabad,Small,2025-06-22
M0039,Merchant_0039,E-commerce,Mumbai,Large,2024-11-12
M0040,Merchant_0040,Entertainment,Chennai,Small,2023-12-10
M0041,Merchant_0041,Food,Jaipur,Small,2022-08-24
M0042,Merchant_0042,Retail,Hyderabad,Large,2022-05-06
M0043,Merchant_0043,Utilities,Lucknow,Large,2024-02-17
M0044,Merchant_0044,E-commerce,Hyderabad,Medium,2024-04-15
M0045,Merchant_0045,Travel,Pune,Small,2022-05-20
M0046,Merchant_0046,Food,Chennai,Medium,2024-05-28
M0047,Merchant_0047,E-commerce,Bengaluru,Small,2023-01-29
M0048,Merchant_0048,E-commerce,Jaipur,Small,2024-04-07
M0049,Merchant_0049,Fuel,Mumbai,Small,2022-05-07
M0050,Merchant_0050,Grocery,Chennai,Small,2025-02-11
M0051,Merchant_0051,E-commerce,Chennai,Medium,2024-04-16
M0052,Merchant_0052,Entertainment,Ahmedabad,Small,2023-06-09
M0053,Merchant_0053,E-commerce,Pune,Large,2025-06-05
M0054,Merchant_0054,Fuel,Jaipur,Small,2026-03-25
M0055,Merchant_0055,Utilities,Jaipur,Small,2022-05-26
M0056,Merchant_0056,Food,Delhi,Medium,2025-04-01
M0057,Merchant_0057,Food,Pune,Medium,2024-01-05
M0058,Merchant_0058,Fuel,Kolkata,Large,2023-12-29
M0059,Merchant_0059,Fuel,Delhi,Medium,2022-06-18
M0060,Merchant_0060,Retail,Kolkata,Small,2026-04-11
M0061,Merchant_0061,Grocery,Jaipur,Large,2025-02-22
M0062,Merchant_0062,Fuel,Ahmedabad,Large,2022-10-27
M0063,Merchant_0063,Grocery,Lucknow,Small,2025-06-27
M0064,Merchant_0064,E-commerce,Jaipur,Small,2024-07-26
M0065,Merchant_0065,Travel,Hyderabad,Small,2023-06-06
M0066,Merchant_0066,Food,Ahmedabad,Small,2022-04-15
M0067,Merchant_0067,Fuel,Jaipur,Large,2023-09-10
M0068,Merchant_0068,Entertainment,Lucknow,Small,2024-08-26
M0069,Merchant_0069,Travel,Delhi,Medium,2026-03-17
M0070,Merchant_0070,Food,Lucknow,Small,2023-05-21
M0071,Merchant_0071,Retail,Bengaluru,Small,2022-10-29
M0072,Merchant_0072,Food,Mumbai,Medium,2023-10-15
M0073,Merchant_0073,Fuel,Mumbai,Small,2025-06-07
M0074,Merchant_0074,Entertainment,Lucknow,Small,2022-03-05
M0075,Merchant_0075,Travel,Chennai,Large,2023-08-13
M0076,Merchant_0076,Travel,Mumbai,Medium,2022-08-20
M0077,Merchant_0077,Entertainment,Pune,Small,2026-06-11
M0078,Merchant_0078,Travel,Chennai,Small,2025-04-21
M0079,Merchant_0079,Food,Jaipur,Small,2022-11-15
M0080,Merchant_0080,Entertainment,Chennai,Medium,2024-04-08
M0081,Merchant_0081,Grocery,Hyderabad,Medium,2022-04-02
M0082,Merchant_0082,Utilities,Mumbai,Small,2024-08-18
M0083,Merchant_0083,Grocery,Chennai,Medium,2022-03-05
M0084,Merchant_0084,Food,Kolkata,Small,2024-04-23
M0085,Merchant_0085,Fuel,Pune,Small,2022-08-07
M0086,Merchant_0086,Food,Chennai,Small,2023-12-05
M0087,Merchant_0087,Grocery,Lucknow,Small,2023-09-11
M0088,Merchant_0088,Food,Ahmedabad,Small,2022-09-04
M0089,Merchant_0089,Travel,Mumbai,Medium,2024-08-21
M0090,Merchant_0090,Entertainment,Ahmedabad,Small,2026-02-05
M0091,Merchant_0091,Entertainment,Delhi,Medium,2024-10-10
M0092,Merchant_0092,Fuel,Delhi,Medium,2022-02-26
M0093,Merchant_0093,Utilities,Ahmedabad,Medium,2024-12-04
