offer_id,customer_id,transaction_id,reward_amount
O009,C04362,T0076492,72.6
O007,C01193,T0025230,7.17
O016,C01065,T0057061,17.66
O001,C02998,T0010352,64.02
O001,C04920,T0036216,128.85
O020,C03016,T0004415,645.6
O015,C02078,T0035443,609.11
O019,C01970,T0083826,68.5
O020,C00646,T0017210,85.04
O017,C02981,T0087338,74.78
O005,C02524,T0086087,152.96
O001,C01292,T0076019,323.81
O009,C01483,T0078540,12.18
O007,C01218,T0077608,8.09
O003,C00001,T0051276,99.63
O008,C03269,T0051993,159.52
O009,C03493,T0099157,61.55
O009,C02797,T0035988,8.6
O005,C01057,T0055850,312.69
O016,C00931,T0059890,15.96
O018,C01881,T0013281,60.32
O019,C03547,T0000841,179.77
O003,C01390,T0075993,360.1
O007,C00959,T0038665,321.62
O002,C00330,T0012662,34.88
O004,C04938,T0093648,575.32
O006,C01978,T0050154,503.19
O010,C03488,T0066154,394.58
O017,C01062,T0076987,16.04
O014,C04312,T0035082,131.03
O004,C04514,T0054575,19.64
O007,C01217,T0067223,46.01
O008,C01363,T0040104,30.16
O007,C02233,T0040562,84.76
O003,C00958,T0054049,243.35
O020,C01146,T0018601,53.72
O019,C00306,T0042999,63.23
O015,C04075,T0043120,35.33
O017,C03016,T0053479,75.13
O007,C04984,T0017541,133.94
O006,C01688,T0056523,141.75
O007,C00208,T0081889,15.46
O009,C00285,T0038010,2.33
O013,C02206,T0059456,58.54
O004,C02468,T0057337,102.86
O011,C04447,T0033409,82.96
O019,C01763,T0016339,257.17
O017,C01022,T0074321,83.6
O013,C02521,T0045165,27.18
O014,C02901,T0098461,30.51
O005,C02236,T0046445,117.01
O002,C04972,T0089504,54.73
O012,C03684,T0031421,212.94
O001,C01907,T0081516,95.61
O003,C03932,T0068046,93.11
O003,C03475,T0040995,79.32
O007,C03473,T0033209,30.64
O006,C01872,T0092997,124.61
O019,C02275,T0066791,49.63
O013,C02030,T0094127,45.07
O009,C00269,T0056694,49.77
O019,C03081,T0080619,11.0
O015,C02927,T0021702,18.23
O014,C00991,T0001561,28.51
O015,C02225,T0025359,54.01
O015,C03370,T0082965,294.44
O005,C04959,T0042414,230.08
O015,C02349,T0041991,34.38
O007,C00525,T0086793,11.5
O001,C00783,T0024223,173.15
O002,C02111,T0039872,56.91
O016,C01232,T0026999,28.01
O017,C03777,T0021444,70.07
O010,C04747,T0088765,66.69
O004,C04290,T0066862,1876.92
O008,C04629,T0063858,194.89
O007,C01188,T0026008,25.16
O001,C04690,T0012048,117.28
O004,C04344,T0008595,62.66
O006,C00483,T0061363,621.68
O011,C00764,T0031182,185.86
O011,C01910,T0066450,71.2
O012,C01150,T0007867,257.57
O020,C01162,T0093880,141.2
O009,C02785,T0015708,20.72
O003,C04174,T0059765,87.1
O018,C00072,T0001941,43.23
O017,C00077,T0098552,31.58
O016,C00214,T0000076,17.48
O013,C01913,T0021916,40.17
O006,C04788,T0086313,53.21
