transaction_id,customer_id,merchant_id,transaction_date,amount,payment_product,payment_channel,transaction_status
T0000001,C02604,M0178,2025-01-09,627.11,RuPay,ATM,Success
T0000002,C00992,M0189,2025-10-26,705.26,NETC,Toll Plaza,Success
T0000003,C01729,M0157,2026-02-03,314.77,UPI,UPI Lite,Success
T0000004,C02029,M0287,2025-05-26,6864.77,Acceptance,QR,Success
T0000005,C01530,M0168,2025-01-19,213.76,UPI,QR,Success
T0000006,C00489,M0105,2025-06-02,140.42,UPI,Mobile App,Success
T0000007,C04153,M0326,2025-07-04,97.23,UPI,QR,Success
T0000008,C00512,M0299,2026-03-24,486.66,UPI,Mobile App,Success
T0000009,C03320,M0220,2025-08-12,146.04,UPI,QR,Success
T0000010,C02152,M0088,2026-01-17,801.11,UPI,QR,Success
T0000011,C02605,M0270,2025-03-22,572.5,UPI,Mobile App,Success
T0000012,C02108,M0031,2026-04-30,195.69,UPI,UPI Lite,Success
T0000013,C00735,M0026,2026-06-30,1099.49,UPI,Mobile App,Success
T0000014,C03310,M0456,2026-04-04,723.34,RuPay,E-commerce,Success
T0000015,C00371,M0383,2025-02-14,370.28,NETC,FASTag,Success
T0000016,C02074,M0280,2026-05-06,360.87,UPI,Mobile App,Success
T0000017,C04702,M0065,2025-08-01,144.97,RuPay,ATM,Success
T0000018,C04206,M0138,2025-04-24,2088.27,RuPay,POS,Success
T0000019,C04869,M0314,2025-09-17,219.82,UPI,QR,Success
T0000020,C02302,M0480,2025-09-26,525.31,UPI,UPI Lite,Success
T0000021,C01831,M0363,2026-01-06,811.38,NETC,FASTag,Success
T0000022,C01860,M0498,2025-08-11,409.41,UPI,QR,Success
T0000023,C00917,M0382,2025-04-23,1876.06,Acceptance,E-commerce,Failed
T0000024,C03176,M0242,2026-05-30,475.44,UPI,Mobile App,Success
T0000025,C02663,M0063,2025-07-24,1160.26,UPI,QR,Success
T0000026,C02635,M0392,2025-01-26,827.81,UPI,QR,Success
T0000027,C04693,M0436,2025-11-16,596.49,UPI,UPI Lite,Success
T0000028,C01238,M0275,2025-09-12,470.6,UPI,UPI Lite,Success
T0000029,C02161,M0332,2025-07-26,616.33,UPI,UPI Lite,Failed
T0000030,C01336,M0463,2026-04-15,278.19,UPI,QR,Success
T0000031,C02617,M0425,2025-10-30,1299.97,Acceptance,QR,Success
T0000032,C02944,M0229,2025-12-20,1470.18,UPI,QR,Success
T0000033,C00762,M0430,2025-08-06,3121.34,RuPay,E-commerce,Success
T0000034,C03719,M0114,2025-07-04,215.22,UPI,Mobile App,Success
T0000035,C02701,M0011,2025-06-15,901.49,UPI,QR,Success
T0000036,C02132,M0173,2025-06-20,185.1,UPI,UPI Lite,Success
T0000037,C04815,M0378,2026-01-10,592.05,UPI,UPI Lite,Success
T0000038,C01954,M0098,2026-01-23,289.71,RuPay,ATM,Success
T0000039,C00949,M0309,2026-02-17,1252.37,UPI,Mobile App,Success
T0000040,C00302,M0273,2025-01-15,845.47,Acceptance,QR,Success
T0000041,C04025,M0156,2026-05-16,423.12,NETC,Toll Plaza,Success
T0000042,C02589,M0142,2025-08-25,1610.88,UPI,QR,Success
T0000043,C03695,M0280,2026-05-16,1363.32,RuPay,ATM,Success
T0000044,C02702,M0044,2025-11-25,3017.8,RuPay,E-commerce,Success
T0000045,C01476,M0341,2025-01-25,2873.6,RuPay,ATM,Success
T0000046,C00614,M0038,2026-04-01,1041.28,RuPay,E-commerce,Success
T0000047,C00669,M0023,2026-03-21,608.05,UPI,UPI Lite,Success
T0000048,C02129,M0071,2025-11-28,7144.49,RuPay,E-commerce,Success
T0000049,C00218,M0432,2025-10-27,700.51,UPI,UPI Lite,Success
T0000050,C02932,M0439,2025-01-10,412.7,UPI,QR,Success
T0000051,C00749,M0219,2025-08-16,224.34,UPI,Mobile App,Success
